"WorkerId","Input.List","SceneID","Description","RefType","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","FirstWord"
53,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
56,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
58,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
59,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
60,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
63,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
64,"TlessC1",5,"dotted square","2","Contrast","circle","spotted","yellow","Min","dotted"
67,"TlessC1",5,"square with spots","2","Contrast","circle","spotted","yellow","Min","square"
70,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
71,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
72,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
2,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
4,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
8,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
9,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
10,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
11,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
26,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
27,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
28,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
30,"TlessC1",6,"vertical spaced stripes","1","NoContrast","square","striped","yellow","Min","vertical"
32,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
33,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
34,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
36,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
39,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
41,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
44,"TlessC1",6,"circle","1","NoContrast","square","striped","yellow","Min","circle"
47,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
48,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
51,"TlessC1",6,"box","1","NoContrast","square","striped","yellow","Min","box"
54,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
57,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
58,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
59,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
61,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
64,"TlessC1",6,"stripped square","1","NoContrast","square","striped","yellow","Min","stripped"
65,"TlessC1",6,"line box","1","NoContrast","square","striped","yellow","Min","line"
67,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
68,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
72,"TlessC1",6,"square","1","NoContrast","square","striped","yellow","Min","square"
1,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
5,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
6,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
12,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
25,"TlessC1",6,"pyramid with lines","2","NoContrast","square","striped","yellow","Min","pyramid"
29,"TlessC1",6,"triangle","2","NoContrast","square","striped","yellow","Min","triangle"
31,"TlessC1",6,"dashed triangle","2","NoContrast","square","striped","yellow","Min","dashed"
