"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","other","test",3,"big","lock",1,0,0,0,0.339105339105339
"contrast","unreliable","adjective","target","test",3,"big","pear",1,1,1,1,0.395061728395062
"contrast","unreliable","adjective","competitor","test",3,"big","pear",1,0,0,0,0.246913580246914
"contrast","unreliable","adjective","other","test",3,"big","pear",1,0,0,0,0.358024691358025
"contrast","unreliable","adjective","target","test",3,"big","pickle",1,1,1,1,0.603174603174603
"contrast","unreliable","adjective","competitor","test",3,"big","pickle",1,0,0,0,0.358024691358025
"contrast","unreliable","adjective","other","test",3,"big","pickle",1,0,0,0,0.0388007054673721
"contrast","unreliable","adjective","target","test",3,"big","plant",1,1,1,1,0.27891156462585
"contrast","unreliable","adjective","competitor","test",3,"big","plant",1,0,0,0,0.195011337868481
"contrast","unreliable","adjective","other","test",3,"big","plant",1,0,0,0,0.526077097505669
"contrast","unreliable","adjective","target","test",3,"big","ribbon",1,0.666666666666667,0,1,0.259920634920635
"contrast","unreliable","adjective","competitor","test",3,"big","ribbon",1,0.333333333333333,0,1,0.569444444444444
"contrast","unreliable","adjective","other","test",3,"big","ribbon",1,0,0,0,0.170634920634921
"contrast","unreliable","adjective","target","test",3,"small","backpack",1,1,1,1,0.523809523809524
"contrast","unreliable","adjective","competitor","test",3,"small","backpack",1,0,0,0,0.0666666666666667
"contrast","unreliable","adjective","other","test",3,"small","backpack",1,0,0,0,0.40952380952381
"contrast","unreliable","adjective","target","test",3,"small","bird",1,1,1,1,0.402597402597403
"contrast","unreliable","adjective","competitor","test",3,"small","bird",1,0,0,0,0.3001443001443
"contrast","unreliable","adjective","other","test",3,"small","bird",1,0,0,0,0.297258297258297
"contrast","unreliable","adjective","target","test",3,"small","bottle",1,0.6,0.2,1,0.367724867724868
"contrast","unreliable","adjective","competitor","test",3,"small","bottle",1,0.4,0,0.8,0.205026455026455
"contrast","unreliable","adjective","other","test",3,"small","bottle",1,0,0,0,0.427248677248677
"contrast","unreliable","adjective","target","test",3,"small","cat",1,1,1,1,0.154761904761905
"contrast","unreliable","adjective","competitor","test",3,"small","cat",1,0,0,0,0.448412698412698
"contrast","unreliable","adjective","other","test",3,"small","cat",1,0,0,0,0.396825396825397
"contrast","unreliable","adjective","target","test",3,"small","cookie",1,1,1,1,0.111111111111111
"contrast","unreliable","adjective","competitor","test",3,"small","cookie",1,0,0,0,0.480952380952381
"contrast","unreliable","adjective","other","test",3,"small","cookie",1,0,0,0,0.407936507936508
"contrast","unreliable","adjective","target","test",3,"small","fish",1,1,1,1,0.376417233560091
"contrast","unreliable","adjective","competitor","test",3,"small","fish",1,0,0,0,0.133786848072562
"contrast","unreliable","adjective","other","test",3,"small","fish",1,0,0,0,0.489795918367347
"contrast","unreliable","adjective","target","test",3,"small","flower",1,0.75,0.25,1,0.285714285714286
"contrast","unreliable","adjective","competitor","test",3,"small","flower",1,0,0,0,0.228174603174603
"contrast","unreliable","adjective","other","test",3,"small","flower",1,0.25,0,0.75,0.486111111111111
"contrast","unreliable","adjective","target","test",3,"small","icecream",1,1,1,1,0.274603174603175
"contrast","unreliable","adjective","competitor","test",3,"small","icecream",1,0,0,0,0.331746031746032
"contrast","unreliable","adjective","other","test",3,"small","icecream",1,0,0,0,0.393650793650794
"contrast","unreliable","adjective","target","test",3,"small","lobster",1,0.666666666666667,0,1,0.407407407407407
"contrast","unreliable","adjective","competitor","test",3,"small","lobster",1,0,0,0,0.272486772486772
"contrast","unreliable","adjective","other","test",3,"small","lobster",1,0.333333333333333,0,1,0.32010582010582
"contrast","unreliable","adjective","target","test",3,"small","monkey",1,0.833333333333333,0.5,1,0.244897959183673
"contrast","unreliable","adjective","competitor","test",3,"small","monkey",1,0,0,0,0.183673469387755
"contrast","unreliable","adjective","other","test",3,"small","monkey",1,0.166666666666667,0,0.5,0.571428571428571
"contrast","unreliable","adjective","target","test",4,"big","ball",1,1,1,1,0.335097001763668
"contrast","unreliable","adjective","competitor","test",4,"big","ball",1,0,0,0,0.312169312169312
"contrast","unreliable","adjective","other","test",4,"big","ball",1,0,0,0,0.352733686067019
"contrast","unreliable","adjective","target","test",4,"big","ballerina",1,1,1,1,0.583774250440917
"contrast","unreliable","adjective","competitor","test",4,"big","ballerina",1,0,0,0,0.165784832451499
"contrast","unreliable","adjective","other","test",4,"big","ballerina",1,0,0,0,0.250440917107584
"contrast","unreliable","adjective","target","test",4,"big","corn",1,1,1,1,0.126984126984127
"contrast","unreliable","adjective","competitor","test",4,"big","corn",1,0,0,0,0.353741496598639
"contrast","unreliable","adjective","other","test",4,"big","corn",1,0,0,0,0.519274376417234
"contrast","unreliable","adjective","target","test",4,"big","dog",1,1,1,1,0.453703703703704
"contrast","unreliable","adjective","competitor","test",4,"big","dog",1,0,0,0,0.101851851851852
"contrast","unreliable","adjective","other","test",4,"big","dog",1,0,0,0,0.444444444444444
