"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","prior","competitor","test","small","flower",1,0.555555555555556,0.333333333333333,0.777777777777778,0.185049019607843
"contrast","unreliable","prior","other","test","small","flower",1,0.333333333333333,0.111111111111111,0.555555555555556,0.686274509803922
"contrast","unreliable","prior","target","test","small","icecream",1,0.277777777777778,0.111111111111111,0.5,0.292892156862745
"contrast","unreliable","prior","competitor","test","small","icecream",1,0.277777777777778,0.111111111111111,0.5,0.278186274509804
"contrast","unreliable","prior","other","test","small","icecream",1,0.444444444444444,0.222222222222222,0.666666666666667,0.428921568627451
"contrast","unreliable","prior","target","test","small","lobster",1,0.222222222222222,0.0555555555555556,0.444444444444444,0.184436274509804
"contrast","unreliable","prior","competitor","test","small","lobster",1,0.444444444444444,0.222222222222222,0.666666666666667,0.231004901960784
"contrast","unreliable","prior","other","test","small","lobster",1,0.333333333333333,0.111111111111111,0.555555555555556,0.584558823529412
"contrast","unreliable","prior","target","test","small","monkey",1,0.333333333333333,0.111111111111111,0.555555555555556,0.238970588235294
"contrast","unreliable","prior","competitor","test","small","monkey",1,0.388888888888889,0.166666666666667,0.611111111111111,0.19546568627451
"contrast","unreliable","prior","other","test","small","monkey",1,0.277777777777778,0.111111111111111,0.5,0.565563725490196
"contrast","reliable","adjective","target","filler","barn","mailbox",2,1,1,1,0.234511008704557
"contrast","reliable","adjective","competitor","filler","barn","mailbox",2,0,0,0,0.321556579621096
"contrast","reliable","adjective","other","filler","barn","mailbox",2,0,0,0,0.443932411674347
"contrast","reliable","adjective","target","filler","black","shorts",2,1,1,1,0.322331098504384
"contrast","reliable","adjective","competitor","filler","black","shorts",2,0,0,0,0.273852501289324
"contrast","reliable","adjective","other","filler","black","shorts",2,0,0,0,0.403816400206292
"contrast","reliable","adjective","target","filler","blue","balloon",2,1,1,1,0.184237995824635
"contrast","reliable","adjective","competitor","filler","blue","balloon",2,0,0,0,0.432150313152401
"contrast","reliable","adjective","other","filler","blue","balloon",2,0,0,0,0.383611691022964
"contrast","reliable","adjective","target","filler","blue","bow",2,0.933333333333333,0.8,1,0.26974358974359
"contrast","reliable","adjective","competitor","filler","blue","bow",2,0.0666666666666667,0,0.2,0.271282051282051
"contrast","reliable","adjective","other","filler","blue","bow",2,0,0,0,0.458974358974359
"contrast","reliable","adjective","target","filler","cocktail","umbrella",2,0.666666666666667,0.4,0.866666666666667,0.261434511434511
"contrast","reliable","adjective","competitor","filler","cocktail","umbrella",2,0.133333333333333,0,0.333333333333333,0.211018711018711
"contrast","reliable","adjective","other","filler","cocktail","umbrella",2,0.2,0,0.4,0.527546777546778
"contrast","reliable","adjective","target","filler","coffee","cup",2,0.866666666666667,0.666666666666667,1,0.303497942386831
"contrast","reliable","adjective","competitor","filler","coffee","cup",2,0.0666666666666667,0,0.2,0.260802469135802
"contrast","reliable","adjective","other","filler","coffee","cup",2,0.0666666666666667,0,0.2,0.435699588477366
"contrast","reliable","adjective","target","filler","convertible","car",2,1,1,1,0.30773249738767
"contrast","reliable","adjective","competitor","filler","convertible","car",2,0,0,0,0.314002089864159
"contrast","reliable","adjective","other","filler","convertible","car",2,0,0,0,0.378265412748171
"contrast","reliable","adjective","target","filler","dog","robot",2,0.933333333333333,0.8,1,0.393578456758156
"contrast","reliable","adjective","competitor","filler","dog","robot",2,0,0,0,0.165199378560331
"contrast","reliable","adjective","other","filler","dog","robot",2,0.0666666666666667,0,0.2,0.441222164681512
