WorkerId,Input.List,SceneID,Description,RefType,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,FirstWord,TargetModificationType,ExactMatch,InitialMatch,MorphemeIncluded,SynFirst,SynIncluded
52,TlessC1,4,bent line with no arrow,1,NoContrast,line,curved,red,Min,bent,0,0,0,0,bc,bc
53,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
58,TlessC1,4,line,1,NoContrast,line,curved,red,Min,line,0,0,0,0,0,0
61,TlessC1,4,rainbow with no arrow head,1,NoContrast,line,curved,red,Min,rainbow,0,0,0,0,0,0
64,TlessC1,4,arrowless bend,1,NoContrast,line,curved,red,Min,arrowless,0,0,0,0,0,bc
66,TlessC1,4,curved line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
68,TlessC1,4,curved line without arrow,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
69,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
70,TlessC1,4,angular line,1,NoContrast,line,curved,red,Min,angular,0,0,0,0,bca,bca
72,TlessC1,4,line,1,NoContrast,line,curved,red,Min,line,0,0,0,0,0,0
2,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
6,TlessC1,4,line with arrow,2,NoContrast,line,curved,red,Min,line,0,0,0,0,0,0
9,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
12,TlessC1,4,curved arrow,2,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
25,TlessC1,4,line with arrow,2,NoContrast,line,curved,red,Min,line,0,0,0,0,0,0
26,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
30,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
32,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
34,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
35,TlessC1,4,arrow,2,NoContrast,line,curved,red,Min,arrow,0,0,0,0,0,0
