"Input.List","SceneID","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","ExactFirstWordUniPrior","InitialMatchUniPrior","MorphemeIncludedUniPrior","SynFirstUniPrior","SynIncludedUniPrior","ExactFirstWordEmpPrior","InitialMatchEmpPrior","MorphemeIncludedEmpPrior","SynFirstEmpPrior","SynIncludedEmpPrior"
"TlessC2",28,"Contrast","spiral","short","red","Rel",0.05,0.075,0.075,0.075,0.075,0.0493437152391546,0.0762402669632925,0.0762402669632925,0.0762402669632925,0.0762402669632925
"TlessC2",29,"NoContrast","line","thick","yellow","Rel",0.00833333333333336,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0112,0.0169142857142857,0.0169142857142857,0.0169142857142857,0.0169142857142857
"TlessC2",30,"Contrast","line","thin","blue","Rel",0.0833333333333333,0.133333333333333,0.15,0.15,0.166666666666667,0.0898285714285714,0.147428571428571,0.166628571428571,0.166628571428571,0.185828571428571
"TlessC2",31,"NoContrast","line","long ","green","Rel",0.025,0.025,0.025,0.025,0.025,0.0127272727272727,0.0127272727272727,0.0127272727272727,0.0127272727272727,0.0127272727272727
"TlessC2",32,"Contrast","line","short ","red","Rel",0.0916666666666667,0.175,0.183333333333333,0.175,0.183333333333333,0.0651851851851852,0.124444444444444,0.128686868686869,0.124444444444444,0.128686868686869
"TlessC2",33,"NoContrast","triangle","big","yellow","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",34,"Contrast","square","small","blue","Rel",0.116666666666667,0.258333333333333,0.258333333333333,0.258333333333333,0.258333333333333,0.127070707070707,0.281616161616162,0.281616161616162,0.281616161616162,0.281616161616162
"TlessC2",35,"NoContrast","rectangle","wide","yellow","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",36,"Contrast","oval","narrow","red","Rel",0.00833333333333336,0.00833333333333336,0.00833333333333336,0.216666666666667,0.216666666666667,0.00969696969696969,0.00969696969696969,0.00969696969696969,0.295218855218855,0.295218855218855
"TlessC2",37,"NoContrast","cylinder","tall","yellow","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",38,"Contrast","cylinder","short","green","Rel",0.0916666666666667,0.125,0.125,0.125,0.125,0.128225616921269,0.176921269095182,0.176921269095182,0.176921269095182,0.176921269095182
"TlessC2",39,"NoContrast","line","thick","blue","Rel",0.00833333333333336,0.00833333333333336,0.00833333333333336,0.00833333333333336,0.00833333333333336,0.00846153846153846,0.00846153846153846,0.00846153846153846,0.00846153846153846,0.00846153846153846
"TlessC2",40,"Contrast","line","thin","red","Rel",0.125,0.175,0.175,0.216666666666667,0.216666666666667,0.083047830923248,0.11615127919911,0.11615127919911,0.143737486095662,0.143737486095662
