condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,tall,spiral,blue,27,rel,adjective,competitor,92,0.412556053811659
contrast,tall,spiral,blue,27,rel,adjective,distractor,27,0.121076233183857
contrast,tall,spiral,blue,27,rel,adjective,distractor.contrast,16,0.0717488789237668
contrast,tall,spiral,blue,27,rel,adjective,target,88,0.394618834080717
contrast,tall,spiral,blue,27,rel,noun,competitor,8,0.275862068965517
contrast,tall,spiral,blue,27,rel,noun,distractor,1,0.0344827586206897
contrast,tall,spiral,blue,27,rel,noun,target,20,0.689655172413793
contrast,tall,spiral,blue,27,rel,prior,competitor,43,0.212871287128713
contrast,tall,spiral,blue,27,rel,prior,distractor,63,0.311881188118812
contrast,tall,spiral,blue,27,rel,prior,distractor.contrast,46,0.227722772277228
contrast,tall,spiral,blue,27,rel,prior,target,50,0.247524752475248
contrast,thick,line,blue,39,rel,adjective,competitor,49,0.270718232044199
contrast,thick,line,blue,39,rel,adjective,distractor.contrast,15,0.0828729281767956
contrast,thick,line,blue,39,rel,adjective,target,117,0.646408839779006
contrast,thick,line,blue,39,rel,noun,competitor,14,0.25
contrast,thick,line,blue,39,rel,noun,distractor,6,0.107142857142857
contrast,thick,line,blue,39,rel,noun,distractor.contrast,6,0.107142857142857
contrast,thick,line,blue,39,rel,noun,target,30,0.535714285714286
contrast,thick,line,blue,39,rel,prior,competitor,19,0.124183006535948
contrast,thick,line,blue,39,rel,prior,distractor,27,0.176470588235294
contrast,thick,line,blue,39,rel,prior,distractor.contrast,64,0.418300653594771
contrast,thick,line,blue,39,rel,prior,target,43,0.281045751633987
contrast,thick,line,yellow,29,rel,adjective,competitor,55,0.283505154639175
contrast,thick,line,yellow,29,rel,adjective,distractor,14,0.0721649484536082
contrast,thick,line,yellow,29,rel,adjective,distractor.contrast,34,0.175257731958763
contrast,thick,line,yellow,29,rel,adjective,target,91,0.469072164948454
contrast,thick,line,yellow,29,rel,noun,competitor,2,0.0357142857142857
contrast,thick,line,yellow,29,rel,noun,distractor,2,0.0357142857142857
contrast,thick,line,yellow,29,rel,noun,target,52,0.928571428571429
contrast,thick,line,yellow,29,rel,prior,competitor,58,0.288557213930348
contrast,thick,line,yellow,29,rel,prior,distractor,27,0.134328358208955
contrast,thick,line,yellow,29,rel,prior,distractor.contrast,45,0.223880597014925
contrast,thick,line,yellow,29,rel,prior,target,71,0.353233830845771
contrast,thin,line,blue,30,rel,adjective,competitor,55,0.195035460992908
contrast,thin,line,blue,30,rel,adjective,distractor.contrast,36,0.127659574468085
contrast,thin,line,blue,30,rel,adjective,target,191,0.677304964539007
contrast,thin,line,blue,30,rel,prior,competitor,52,0.207171314741036
contrast,thin,line,blue,30,rel,prior,distractor,18,0.0717131474103586
contrast,thin,line,blue,30,rel,prior,distractor.contrast,96,0.382470119521912
contrast,thin,line,blue,30,rel,prior,target,85,0.338645418326693
contrast,thin,line,red,40,rel,adjective,competitor,60,0.217391304347826
contrast,thin,line,red,40,rel,adjective,distractor,10,0.036231884057971
contrast,thin,line,red,40,rel,adjective,distractor.contrast,15,0.0543478260869565
contrast,thin,line,red,40,rel,adjective,target,191,0.692028985507246
contrast,thin,line,red,40,rel,prior,competitor,52,0.186379928315412
contrast,thin,line,red,40,rel,prior,distractor,117,0.419354838709677
contrast,thin,line,red,40,rel,prior,distractor.contrast,32,0.114695340501792
contrast,thin,line,red,40,rel,prior,target,78,0.279569892473118
contrast,wide,oval,green,25,rel,adjective,competitor,78,0.333333333333333
contrast,wide,oval,green,25,rel,adjective,distractor,100,0.427350427350427
contrast,wide,oval,green,25,rel,adjective,distractor.contrast,34,0.145299145299145
contrast,wide,oval,green,25,rel,adjective,target,22,0.094017094017094
contrast,wide,oval,green,25,rel,prior,competitor,91,0.387234042553191
contrast,wide,oval,green,25,rel,prior,distractor,67,0.285106382978723
contrast,wide,oval,green,25,rel,prior,distractor.contrast,56,0.238297872340426
contrast,wide,oval,green,25,rel,prior,target,21,0.0893617021276596
contrast,wide,rectangle,yellow,35,rel,adjective,competitor,30,0.14018691588785
contrast,wide,rectangle,yellow,35,rel,adjective,distractor,7,0.0327102803738318
contrast,wide,rectangle,yellow,35,rel,adjective,distractor.contrast,69,0.322429906542056
contrast,wide,rectangle,yellow,35,rel,adjective,target,108,0.504672897196262
contrast,wide,rectangle,yellow,35,rel,prior,competitor,53,0.286486486486487
contrast,wide,rectangle,yellow,35,rel,prior,distractor,68,0.367567567567568
contrast,wide,rectangle,yellow,35,rel,prior,distractor.contrast,36,0.194594594594595
contrast,wide,rectangle,yellow,35,rel,prior,target,28,0.151351351351351
nocontrast,big,square,red,23,rel,adjective,competitor,64,0.30188679245283
nocontrast,big,square,red,23,rel,adjective,distractor,3,0.0141509433962264
nocontrast,big,square,red,23,rel,adjective,distractor.contrast,8,0.0377358490566038
nocontrast,big,square,red,23,rel,adjective,target,137,0.64622641509434
nocontrast,big,square,red,23,rel,noun,competitor,12,0.218181818181818
nocontrast,big,square,red,23,rel,noun,target,43,0.781818181818182
nocontrast,big,square,red,23,rel,prior,competitor,63,0.28
nocontrast,big,square,red,23,rel,prior,distractor,38,0.168888888888889
nocontrast,big,square,red,23,rel,prior,distractor.contrast,59,0.262222222222222
nocontrast,big,square,red,23,rel,prior,target,65,0.288888888888889
nocontrast,big,triangle,yellow,33,rel,adjective,competitor,66,0.392857142857143
nocontrast,big,triangle,yellow,33,rel,adjective,distractor.contrast,17,0.101190476190476
nocontrast,big,triangle,yellow,33,rel,adjective,target,85,0.505952380952381
nocontrast,big,triangle,yellow,33,rel,noun,competitor,3,0.0508474576271186
nocontrast,big,triangle,yellow,33,rel,noun,distractor.contrast,6,0.101694915254237
nocontrast,big,triangle,yellow,33,rel,noun,target,50,0.847457627118644
nocontrast,big,triangle,yellow,33,rel,prior,competitor,88,0.352
nocontrast,big,triangle,yellow,33,rel,prior,distractor,10,0.04
nocontrast,big,triangle,yellow,33,rel,prior,distractor.contrast,104,0.416
nocontrast,big,triangle,yellow,33,rel,prior,target,48,0.192
nocontrast,closed,circle,blue,17,max,adjective,competitor,48,0.157894736842105
nocontrast,closed,circle,blue,17,max,adjective,distractor,42,0.138157894736842
nocontrast,closed,circle,blue,17,max,adjective,distractor.contrast,32,0.105263157894737
nocontrast,closed,circle,blue,17,max,adjective,target,182,0.598684210526316
nocontrast,closed,circle,blue,17,max,prior,competitor,63,0.273913043478261
nocontrast,closed,circle,blue,17,max,prior,distractor,36,0.156521739130435
nocontrast,closed,circle,blue,17,max,prior,distractor.contrast,64,0.278260869565217
nocontrast,closed,circle,blue,17,max,prior,target,67,0.291304347826087
nocontrast,closed,circle,green,12,max,adjective,competitor,81,0.313953488372093
nocontrast,closed,circle,green,12,max,adjective,distractor,21,0.0813953488372093
nocontrast,closed,circle,green,12,max,adjective,target,156,0.604651162790698
nocontrast,closed,circle,green,12,max,prior,competitor,73,0.349282296650718
nocontrast,closed,circle,green,12,max,prior,distractor,44,0.210526315789474
nocontrast,closed,circle,green,12,max,prior,distractor.contrast,16,0.076555023923445
nocontrast,closed,circle,green,12,max,prior,target,76,0.363636363636364
nocontrast,empty,cube,transparent,15,max,adjective,competitor,68,0.333333333333333
nocontrast,empty,cube,transparent,15,max,adjective,target,136,0.666666666666667
nocontrast,empty,cube,transparent,15,max,prior,competitor,109,0.392086330935252
nocontrast,empty,cube,transparent,15,max,prior,distractor,11,0.039568345323741
nocontrast,empty,cube,transparent,15,max,prior,distractor.contrast,26,0.0935251798561151
nocontrast,empty,cube,transparent,15,max,prior,target,132,0.474820143884892
nocontrast,empty,cylinder,transparent,20,max,adjective,competitor,58,0.297435897435897
nocontrast,empty,cylinder,transparent,20,max,adjective,distractor,6,0.0307692307692308
nocontrast,empty,cylinder,transparent,20,max,adjective,distractor.contrast,25,0.128205128205128
nocontrast,empty,cylinder,transparent,20,max,adjective,target,106,0.543589743589744
nocontrast,empty,cylinder,transparent,20,max,noun,competitor,3,0.1
nocontrast,empty,cylinder,transparent,20,max,noun,distractor.contrast,3,0.1
nocontrast,empty,cylinder,transparent,20,max,noun,target,24,0.8
nocontrast,empty,cylinder,transparent,20,max,prior,competitor,72,0.363636363636364
nocontrast,empty,cylinder,transparent,20,max,prior,distractor,39,0.196969696969697
nocontrast,empty,cylinder,transparent,20,max,prior,distractor.contrast,5,0.0252525252525253
nocontrast,empty,cylinder,transparent,20,max,prior,target,82,0.414141414141414
nocontrast,flat,circle,green,11,max,adjective,competitor,64,0.32
nocontrast,flat,circle,green,11,max,adjective,distractor,38,0.19
nocontrast,flat,circle,green,11,max,adjective,distractor.contrast,8,0.04
nocontrast,flat,circle,green,11,max,adjective,target,90,0.45
nocontrast,flat,circle,green,11,max,noun,competitor,5,0.108695652173913
nocontrast,flat,circle,green,11,max,noun,distractor,1,0.0217391304347826
nocontrast,flat,circle,green,11,max,noun,distractor.contrast,16,0.347826086956522
nocontrast,flat,circle,green,11,max,noun,target,24,0.521739130434783
nocontrast,flat,circle,green,11,max,prior,competitor,32,0.146118721461187
nocontrast,flat,circle,green,11,max,prior,distractor,26,0.118721461187215
nocontrast,flat,circle,green,11,max,prior,distractor.contrast,81,0.36986301369863
nocontrast,flat,circle,green,11,max,prior,target,80,0.365296803652968
nocontrast,flat,triangle,yellow,16,max,adjective,competitor,59,0.324175824175824
nocontrast,flat,triangle,yellow,16,max,adjective,distractor,24,0.131868131868132
nocontrast,flat,triangle,yellow,16,max,adjective,distractor.contrast,39,0.214285714285714
nocontrast,flat,triangle,yellow,16,max,adjective,target,60,0.32967032967033
nocontrast,flat,triangle,yellow,16,max,noun,competitor,5,0.116279069767442
nocontrast,flat,triangle,yellow,16,max,noun,distractor.contrast,5,0.116279069767442
nocontrast,flat,triangle,yellow,16,max,noun,target,33,0.767441860465116
nocontrast,flat,triangle,yellow,16,max,prior,competitor,67,0.313084112149533
nocontrast,flat,triangle,yellow,16,max,prior,distractor,61,0.285046728971963
nocontrast,flat,triangle,yellow,16,max,prior,distractor.contrast,43,0.200934579439252
nocontrast,flat,triangle,yellow,16,max,prior,target,43,0.200934579439252
nocontrast,full,cube,yellow,14,max,adjective,competitor,77,0.353211009174312
nocontrast,full,cube,yellow,14,max,adjective,distractor,12,0.055045871559633
nocontrast,full,cube,yellow,14,max,adjective,distractor.contrast,35,0.160550458715596
nocontrast,full,cube,yellow,14,max,adjective,target,94,0.431192660550459
nocontrast,full,cube,yellow,14,max,noun,competitor,12,0.307692307692308
nocontrast,full,cube,yellow,14,max,noun,distractor,1,0.0256410256410256
nocontrast,full,cube,yellow,14,max,noun,target,26,0.666666666666667
nocontrast,full,cube,yellow,14,max,prior,competitor,76,0.306451612903226
nocontrast,full,cube,yellow,14,max,prior,distractor,25,0.100806451612903
nocontrast,full,cube,yellow,14,max,prior,distractor.contrast,121,0.487903225806452
nocontrast,full,cube,yellow,14,max,prior,target,26,0.104838709677419
nocontrast,full,cylinder,blue,19,max,adjective,competitor,67,0.25968992248062
nocontrast,full,cylinder,blue,19,max,adjective,distractor,51,0.197674418604651
nocontrast,full,cylinder,blue,19,max,adjective,distractor.contrast,21,0.0813953488372093
nocontrast,full,cylinder,blue,19,max,adjective,target,119,0.461240310077519
nocontrast,full,cylinder,blue,19,max,noun,competitor,3,0.111111111111111
nocontrast,full,cylinder,blue,19,max,noun,distractor.contrast,3,0.111111111111111
nocontrast,full,cylinder,blue,19,max,noun,target,21,0.777777777777778
nocontrast,full,cylinder,blue,19,max,prior,competitor,91,0.323843416370107
nocontrast,full,cylinder,blue,19,max,prior,distractor,89,0.316725978647687
nocontrast,full,cylinder,blue,19,max,prior,distractor.contrast,77,0.274021352313167
nocontrast,full,cylinder,blue,19,max,prior,target,24,0.0854092526690391
nocontrast,long,line,green,31,rel,adjective,competitor,129,0.533057851239669
nocontrast,long,line,green,31,rel,adjective,distractor,2,0.00826446280991736
nocontrast,long,line,green,31,rel,adjective,target,111,0.458677685950413
