condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,tall,cylinder,yellow,37,rel,prior,competitor,40,0.645161290322581
contrast,tall,cylinder,yellow,37,rel,prior,distractor,13,0.209677419354839
contrast,tall,cylinder,yellow,37,rel,prior,distractor.contrast,9,0.145161290322581
contrast,tall,spiral,blue,27,rel,adjective,competitor,71,0.275193798449612
contrast,tall,spiral,blue,27,rel,adjective,distractor,70,0.271317829457364
contrast,tall,spiral,blue,27,rel,adjective,distractor.contrast,53,0.205426356589147
contrast,tall,spiral,blue,27,rel,adjective,target,64,0.248062015503876
contrast,tall,spiral,blue,27,rel,noun,competitor,72,0.36734693877551
contrast,tall,spiral,blue,27,rel,noun,distractor,21,0.107142857142857
contrast,tall,spiral,blue,27,rel,noun,distractor.contrast,9,0.0459183673469388
contrast,tall,spiral,blue,27,rel,noun,target,94,0.479591836734694
contrast,tall,spiral,blue,27,rel,prior,competitor,3,0.0283018867924528
contrast,tall,spiral,blue,27,rel,prior,distractor,64,0.60377358490566
contrast,tall,spiral,blue,27,rel,prior,distractor.contrast,39,0.367924528301887
contrast,thick,line,blue,39,rel,adjective,competitor,22,0.129411764705882
contrast,thick,line,blue,39,rel,adjective,distractor,29,0.170588235294118
contrast,thick,line,blue,39,rel,adjective,distractor.contrast,69,0.405882352941176
contrast,thick,line,blue,39,rel,adjective,target,50,0.294117647058824
contrast,thick,line,blue,39,rel,noun,competitor,61,0.269911504424779
contrast,thick,line,blue,39,rel,noun,distractor,6,0.0265486725663717
contrast,thick,line,blue,39,rel,noun,distractor.contrast,19,0.084070796460177
contrast,thick,line,blue,39,rel,noun,target,140,0.619469026548673
contrast,thick,line,blue,39,rel,prior,competitor,20,0.3125
contrast,thick,line,blue,39,rel,prior,distractor,18,0.28125
contrast,thick,line,blue,39,rel,prior,distractor.contrast,26,0.40625
contrast,thick,line,yellow,29,rel,adjective,competitor,63,0.277533039647577
contrast,thick,line,yellow,29,rel,adjective,distractor,31,0.136563876651982
contrast,thick,line,yellow,29,rel,adjective,distractor.contrast,51,0.224669603524229
contrast,thick,line,yellow,29,rel,adjective,target,82,0.361233480176211
contrast,thick,line,yellow,29,rel,noun,competitor,53,0.230434782608696
contrast,thick,line,yellow,29,rel,noun,distractor,12,0.0521739130434783
contrast,thick,line,yellow,29,rel,noun,distractor.contrast,28,0.121739130434783
contrast,thick,line,yellow,29,rel,noun,target,137,0.595652173913043
contrast,thick,line,yellow,29,rel,prior,competitor,14,0.159090909090909
contrast,thick,line,yellow,29,rel,prior,distractor,19,0.215909090909091
contrast,thick,line,yellow,29,rel,prior,distractor.contrast,4,0.0454545454545455
contrast,thick,line,yellow,29,rel,prior,target,51,0.579545454545455
contrast,thin,line,blue,30,rel,adjective,competitor,57,0.167647058823529
contrast,thin,line,blue,30,rel,adjective,distractor,20,0.0588235294117647
contrast,thin,line,blue,30,rel,adjective,distractor.contrast,113,0.332352941176471
contrast,thin,line,blue,30,rel,adjective,target,150,0.441176470588235
contrast,thin,line,blue,30,rel,noun,competitor,50,0.246305418719212
contrast,thin,line,blue,30,rel,noun,distractor.contrast,24,0.118226600985222
contrast,thin,line,blue,30,rel,noun,target,129,0.635467980295567
contrast,thin,line,blue,30,rel,prior,distractor,26,0.218487394957983
contrast,thin,line,blue,30,rel,prior,distractor.contrast,36,0.302521008403361
contrast,thin,line,blue,30,rel,prior,target,57,0.478991596638655
contrast,thin,line,red,40,rel,adjective,competitor,72,0.194070080862534
contrast,thin,line,red,40,rel,adjective,distractor,131,0.353099730458221
contrast,thin,line,red,40,rel,adjective,distractor.contrast,42,0.113207547169811
contrast,thin,line,red,40,rel,adjective,target,126,0.339622641509434
contrast,thin,line,red,40,rel,noun,competitor,43,0.22279792746114
contrast,thin,line,red,40,rel,noun,distractor.contrast,5,0.0259067357512953
contrast,thin,line,red,40,rel,noun,target,145,0.751295336787565
contrast,thin,line,red,40,rel,prior,competitor,40,0.363636363636364
contrast,thin,line,red,40,rel,prior,distractor,36,0.327272727272727
contrast,thin,line,red,40,rel,prior,target,34,0.309090909090909
contrast,wide,oval,green,25,rel,adjective,competitor,146,0.350961538461538
contrast,wide,oval,green,25,rel,adjective,distractor,150,0.360576923076923
contrast,wide,oval,green,25,rel,adjective,distractor.contrast,90,0.216346153846154
contrast,wide,oval,green,25,rel,adjective,target,30,0.0721153846153846
contrast,wide,oval,green,25,rel,noun,competitor,25,0.423728813559322
contrast,wide,oval,green,25,rel,noun,distractor,19,0.322033898305085
contrast,wide,oval,green,25,rel,noun,distractor.contrast,2,0.0338983050847458
contrast,wide,oval,green,25,rel,noun,target,13,0.220338983050847
contrast,wide,oval,green,25,rel,prior,competitor,22,0.22680412371134
contrast,wide,oval,green,25,rel,prior,distractor,47,0.484536082474227
contrast,wide,oval,green,25,rel,prior,distractor.contrast,28,0.288659793814433
contrast,wide,rectangle,yellow,35,rel,adjective,competitor,74,0.259649122807018
contrast,wide,rectangle,yellow,35,rel,adjective,distractor,78,0.273684210526316
contrast,wide,rectangle,yellow,35,rel,adjective,distractor.contrast,87,0.305263157894737
contrast,wide,rectangle,yellow,35,rel,adjective,target,46,0.16140350877193
contrast,wide,rectangle,yellow,35,rel,noun,competitor,14,0.111111111111111
contrast,wide,rectangle,yellow,35,rel,noun,distractor.contrast,20,0.158730158730159
contrast,wide,rectangle,yellow,35,rel,noun,target,92,0.73015873015873
contrast,wide,rectangle,yellow,35,rel,prior,competitor,25,0.367647058823529
contrast,wide,rectangle,yellow,35,rel,prior,distractor,21,0.308823529411765
contrast,wide,rectangle,yellow,35,rel,prior,distractor.contrast,13,0.191176470588235
contrast,wide,rectangle,yellow,35,rel,prior,target,9,0.132352941176471
nocontrast,big,square,red,23,rel,adjective,competitor,66,0.265060240963855
nocontrast,big,square,red,23,rel,adjective,distractor,41,0.164658634538153
nocontrast,big,square,red,23,rel,adjective,distractor.contrast,65,0.261044176706827
nocontrast,big,square,red,23,rel,adjective,target,77,0.309236947791165
nocontrast,big,square,red,23,rel,noun,competitor,74,0.296
nocontrast,big,square,red,23,rel,noun,distractor.contrast,6,0.024
nocontrast,big,square,red,23,rel,noun,target,170,0.68
nocontrast,big,square,red,23,rel,prior,competitor,35,0.402298850574713
nocontrast,big,square,red,23,rel,prior,distractor,8,0.0919540229885057
nocontrast,big,square,red,23,rel,prior,distractor.contrast,15,0.172413793103448
nocontrast,big,square,red,23,rel,prior,target,29,0.333333333333333
nocontrast,big,triangle,yellow,33,rel,adjective,competitor,95,0.350553505535055
nocontrast,big,triangle,yellow,33,rel,adjective,distractor,11,0.040590405904059
nocontrast,big,triangle,yellow,33,rel,adjective,distractor.contrast,111,0.409594095940959
nocontrast,big,triangle,yellow,33,rel,adjective,target,54,0.199261992619926
nocontrast,big,triangle,yellow,33,rel,noun,competitor,65,0.302325581395349
nocontrast,big,triangle,yellow,33,rel,noun,distractor.contrast,19,0.0883720930232558
nocontrast,big,triangle,yellow,33,rel,noun,target,131,0.609302325581395
nocontrast,big,triangle,yellow,33,rel,prior,competitor,37,0.362745098039216
nocontrast,big,triangle,yellow,33,rel,prior,distractor,11,0.107843137254902
nocontrast,big,triangle,yellow,33,rel,prior,distractor.contrast,30,0.294117647058824
nocontrast,big,triangle,yellow,33,rel,prior,target,24,0.235294117647059
nocontrast,closed,circle,blue,17,max,adjective,competitor,81,0.232758620689655
nocontrast,closed,circle,blue,17,max,adjective,distractor,52,0.149425287356322
nocontrast,closed,circle,blue,17,max,adjective,distractor.contrast,77,0.221264367816092
nocontrast,closed,circle,blue,17,max,adjective,target,138,0.396551724137931
nocontrast,closed,circle,blue,17,max,noun,competitor,29,0.161111111111111
nocontrast,closed,circle,blue,17,max,noun,distractor,25,0.138888888888889
nocontrast,closed,circle,blue,17,max,noun,distractor.contrast,17,0.0944444444444444
nocontrast,closed,circle,blue,17,max,noun,target,109,0.605555555555556
nocontrast,closed,circle,blue,17,max,prior,competitor,9,0.103448275862069
nocontrast,closed,circle,blue,17,max,prior,distractor,19,0.218390804597701
nocontrast,closed,circle,blue,17,max,prior,distractor.contrast,34,0.390804597701149
nocontrast,closed,circle,blue,17,max,prior,target,25,0.28735632183908
nocontrast,closed,circle,green,12,max,adjective,competitor,104,0.338762214983713
nocontrast,closed,circle,green,12,max,adjective,distractor,49,0.159609120521173
nocontrast,closed,circle,green,12,max,adjective,distractor.contrast,15,0.0488599348534202
nocontrast,closed,circle,green,12,max,adjective,target,139,0.452768729641694
nocontrast,closed,circle,green,12,max,noun,competitor,46,0.302631578947368
