,,WorkerId,Answer.wrongShape,Input.List,SceneID,Answer.freeGenCrit,turnOrder,sceneConfigs,RT,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,refType
97,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,17,semi circle with the larger gap,36,DBAC,3409,Contrast,circle,closed,blue,Max,4
98,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,18,cylinder,33,BACD,15131,NoContrast,line,straight,red,Max,4
99,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,19,spiral,34,BACD,10778,Contrast,cylinder,full,blue,Max,3
100,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,20,line,6,DCBA,8910,NoContrast,cylinder,empty ,transparent,Max,4
101,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,21,sun,1,CDAB,14139,Contrast,line,long,red,Rel,3
102,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,22,arrow,30,DACB,5569,NoContrast,line,short ,blue,Rel,2
103,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,23,triangle,3,CBAD,6672,Contrast,square,big,red,Rel,2
104,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,24,arrows,20,BDAC,3442,NoContrast,triangle,small,yellow,Rel,4
105,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,25,larger oval,37,BDAC,3341,Contrast,oval,wide,green,Rel,1
106,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,26,rectangle,40,DABC,6278,NoContrast,rectangle,narrow,red,Rel,1
107,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,27,larger spiral,17,DABC,6966,Contrast,spiral,tall,blue,Rel,1
108,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,28,short wide cylinder,27,DCBA,13658,NoContrast,spiral,short,red,Rel,2
109,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,29,arrow,12,BDAC,6288,Contrast,line,thick,yellow,Rel,2
110,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,30,arrow,15,ADBC,3296,NoContrast,line,thin,blue,Rel,2
111,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,31,long line without an arrow head,4,DBCA,3262,Contrast,line,long ,green,Rel,1
112,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,32,line without an arrow head,25,BDAC,1946,NoContrast,line,short,red,Rel,1
113,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,33,square,2,ADCB,9145,Contrast,triangle,big,yellow,Rel,2
114,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,34,triangle,39,BDCA,2520,NoContrast,square,small,blue,Rel,2
115,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,35,wide rectangle,11,BACD,11104,Contrast,rectangle,wide,yellow,Rel,1
116,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,36,rectangle,23,DABC,3004,NoContrast,oval,narrow,red,Rel,2
117,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,37,line,9,DBCA,6491,Contrast,cylinder,tall,yellow,Rel,3
118,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,38,cylindrical object,8,CADB,2149,NoContrast,cylinder,short,green,Rel,1
119,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,39,thick line without an arrow head,19,ADCB,4095,Contrast,line,thick,blue,Rel,1
120,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,40,line without an arrow head,28,DACB,4443,NoContrast,line,thin,red,Rel,1
121,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,1,{},10,NA,NA,Contrast,square,bumpy,blue,Min,4
122,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,2,{},3,NA,NA,NoContrast,circle,open,blue,Min,4
123,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,3,{},22,NA,NA,Contrast,line,bent,green,Min,3
124,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,4,{},17,NA,NA,NoContrast,line,curved,red,Min,4
125,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,5,{},19,NA,NA,Contrast,circle,spotted,yellow,Min,1
126,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,6,{},7,NA,NA,NoContrast,square,striped,yellow,Min,4
127,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,7,{},28,NA,NA,Contrast,triangle,bumpy,red,Min,2
128,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,8,{},40,NA,NA,NoContrast,line,curved,blue,Min,1
129,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,9,{},25,NA,NA,Contrast,square,spotted,yellow,Min,2
130,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,10,{},32,NA,NA,NoContrast,triangle,striped,red,Min,2
131,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,11,{},34,NA,NA,Contrast,cirlce,flat,green,Max,1
132,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,12,{},33,NA,NA,NoContrast,cirlce,closed,green,Max,4
133,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,13,{},15,NA,NA,Contrast,line,straight,blue,Max,3
134,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,14,{},5,NA,NA,NoContrast,cube,full,yellow,Max,3
135,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,15,{},30,NA,NA,Contrast,cube,empty ,transparent,Max,3
136,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,16,{},12,NA,NA,NoContrast,triangle,flat,yellow,Max,2
137,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,17,{},11,NA,NA,Contrast,circle,closed,blue,Max,4
138,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,18,{},27,NA,NA,NoContrast,line,straight,red,Max,2
139,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,19,{},14,NA,NA,Contrast,cylinder,full,blue,Max,2
140,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,20,{},13,NA,NA,NoContrast,cylinder,empty ,transparent,Max,2
141,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,21,{},8,NA,NA,Contrast,line,long,red,Rel,2
142,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,22,{},31,NA,NA,NoContrast,line,short ,blue,Rel,3
143,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,23,{},18,NA,NA,Contrast,square,big,red,Rel,2
144,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,24,{},38,NA,NA,NoContrast,triangle,small,yellow,Rel,3
145,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,25,{},20,NA,NA,Contrast,oval,wide,green,Rel,3
146,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,26,{},37,NA,NA,NoContrast,rectangle,narrow,red,Rel,4
147,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,27,{},6,NA,NA,Contrast,spiral,tall,blue,Rel,4
148,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,28,{},36,NA,NA,NoContrast,spiral,short,red,Rel,4
149,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,29,{},29,NA,NA,Contrast,line,thick,yellow,Rel,4
150,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,30,{},16,NA,NA,NoContrast,line,thin,blue,Rel,2
151,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,31,{},2,NA,NA,Contrast,line,long ,green,Rel,4
152,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,32,{},24,NA,NA,NoContrast,line,short,red,Rel,4
153,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,33,{},1,ADBC,{},Contrast,triangle,big,yellow,Rel,2
154,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,34,{},35,NA,NA,NoContrast,square,small,blue,Rel,2
155,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,35,{},23,NA,NA,Contrast,rectangle,wide,yellow,Rel,1
156,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,36,{},39,NA,NA,NoContrast,oval,narrow,red,Rel,1
157,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,37,{},26,NA,NA,Contrast,cylinder,tall,yellow,Rel,3
158,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,38,{},4,NA,NA,NoContrast,cylinder,short,green,Rel,1
159,6x81pdsevc,A22JBMOHQKHTSS,0,TlessC1,39,{},21,NA,NA,Contrast,line,thick,blue,Rel,2
