"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","train","big","violin",1,0.266666666666667,0.0666666666666667,0.466666666666667,0.253968253968254
"contrast","unreliable","adjective","competitor","train","big","violin",1,0,0,0,0.506400409626216
"contrast","unreliable","adjective","other","train","big","violin",1,0.733333333333333,0.533333333333333,0.933333333333333,0.23963133640553
"contrast","unreliable","adjective","target","train","big","wallet",1,0.2,0,0.4,0.340277777777778
"contrast","unreliable","adjective","competitor","train","big","wallet",1,0.0666666666666667,0,0.2,0.306051587301587
"contrast","unreliable","adjective","other","train","big","wallet",1,0.733333333333333,0.533333333333333,0.933333333333333,0.353670634920635
"contrast","unreliable","adjective","target","train","big","yarn",1,0.466666666666667,0.2,0.733333333333333,0.306051587301587
"contrast","unreliable","adjective","competitor","train","big","yarn",1,0.0666666666666667,0,0.2,0.35218253968254
"contrast","unreliable","adjective","other","train","big","yarn",1,0.466666666666667,0.266666666666667,0.733333333333333,0.341765873015873
"contrast","unreliable","adjective","target","train","small","airplane",1,0.2,0,0.4,0.252480158730159
"contrast","unreliable","adjective","competitor","train","small","airplane",1,0.133333333333333,0,0.333333333333333,0.482142857142857
"contrast","unreliable","adjective","other","train","small","airplane",1,0.666666666666667,0.4,0.933333333333333,0.265376984126984
"contrast","unreliable","adjective","target","train","small","banjo",1,0.6,0.333333333333333,0.866666666666667,0.246636771300448
"contrast","unreliable","adjective","competitor","train","small","banjo",1,0.0666666666666667,0,0.2,0.2700548081714
"contrast","unreliable","adjective","other","train","small","banjo",1,0.333333333333333,0.133333333333333,0.6,0.483308420528151
"contrast","unreliable","adjective","target","train","small","boat",1,0.733333333333333,0.533333333333333,0.933333333333333,0.263888888888889
"contrast","unreliable","adjective","competitor","train","small","boat",1,0,0,0,0.206349206349206
"contrast","unreliable","adjective","other","train","small","boat",1,0.266666666666667,0.0666666666666667,0.468333333333332,0.529761904761905
"contrast","unreliable","adjective","target","train","small","butterfly",1,0.466666666666667,0.2,0.733333333333333,0.239583333333333
"contrast","unreliable","adjective","competitor","train","small","butterfly",1,0.133333333333333,0,0.333333333333333,0.287202380952381
"contrast","unreliable","adjective","other","train","small","butterfly",1,0.4,0.133333333333333,0.666666666666667,0.473214285714286
"contrast","unreliable","adjective","target","train","small","camel",1,0.466666666666667,0.2,0.733333333333333,0.268849206349206
"contrast","unreliable","adjective","competitor","train","small","camel",1,0.133333333333333,0,0.333333333333333,0.291666666666667
"contrast","unreliable","adjective","other","train","small","camel",1,0.4,0.133333333333333,0.666666666666667,0.439484126984127
"contrast","unreliable","adjective","target","train","small","checkerboard",1,0.6,0.333333333333333,0.866666666666667,0.283730158730159
"contrast","unreliable","adjective","competitor","train","small","checkerboard",1,0,0,0,0.213789682539683
"contrast","unreliable","adjective","other","train","small","checkerboard",1,0.4,0.133333333333333,0.666666666666667,0.502480158730159
"contrast","unreliable","adjective","target","train","small","domino",1,0.2,0,0.4,0.30952380952381
"contrast","unreliable","adjective","competitor","train","small","domino",1,0.2,0,0.4,0.277777777777778
"contrast","unreliable","adjective","other","train","small","domino",1,0.6,0.333333333333333,0.866666666666667,0.412698412698413
"contrast","unreliable","adjective","target","train","small","drum",1,0.285714285714286,0.0714285714285714,0.5,0.246130803794309
"contrast","unreliable","adjective","competitor","train","small","drum",1,0.0714285714285714,0,0.214285714285714,0.254618072890664
"contrast","unreliable","adjective","other","train","small","drum",1,0.642857142857143,0.357142857142857,0.928571428571429,0.499251123315027
