"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"contrast",32,"noun","contrast",0,0,1,0.02
"contrast",32,"noun","target",0,0,49,0.98
"contrast",32,"prior","competitor",50,0.210084033613445,7,0.14
"contrast",32,"prior","distractor",72,0.302521008403361,25,0.5
"contrast",32,"prior","contrast",57,0.239495798319328,10,0.2
"contrast",32,"prior","target",59,0.247899159663866,8,0.16
"contrast",33,"adjective","competitor",43,0.240223463687151,33,0.66
"contrast",33,"adjective","distractor",22,0.122905027932961,1,0.02
"contrast",33,"adjective","contrast",24,0.134078212290503,2,0.04
"contrast",33,"adjective","target",90,0.502793296089385,14,0.28
"contrast",33,"noun","competitor",4,0.0833333333333333,4,0.08
"contrast",33,"noun","distractor",2,0.0416666666666667,0,0
"contrast",33,"noun","contrast",24,0.5,0,0
"contrast",33,"noun","target",18,0.375,46,0.92
"contrast",33,"prior","competitor",110,0.518867924528302,13,0.26
"contrast",33,"prior","distractor",70,0.330188679245283,11,0.22
"contrast",33,"prior","contrast",16,0.0754716981132075,14,0.28
"contrast",33,"prior","target",16,0.0754716981132075,12,0.24
"contrast",34,"adjective","competitor",135,0.511363636363636,36,0.72
"contrast",34,"adjective","distractor",62,0.234848484848485,3,0.06
"contrast",34,"adjective","contrast",32,0.121212121212121,0,0
"contrast",34,"adjective","target",35,0.132575757575758,11,0.22
"contrast",34,"noun","competitor",0,0,4,0.08
"contrast",34,"noun","distractor",0,0,0,0
"contrast",34,"noun","contrast",0,0,0,0
"contrast",34,"noun","target",0,0,46,0.92
"contrast",34,"prior","competitor",80,0.31496062992126,12,0.24
"contrast",34,"prior","distractor",81,0.318897637795276,11,0.22
"contrast",34,"prior","contrast",27,0.106299212598425,12,0.24
"contrast",34,"prior","target",66,0.259842519685039,15,0.3
"contrast",35,"adjective","competitor",30,0.14018691588785,8,0.16
"contrast",35,"adjective","distractor",7,0.0327102803738318,1,0.02
