WorkerId,Answer.wrongAdj,Answer.wrongShape,Input.List,SceneID,Answer.choicePrior,Answer.choiceAdj,Answer.choiceWhole,Turn,sceneConfigs,timePrior,timeAdj,timeWhole,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType
z553g2hwcqq9,No,No,TmoreC1,13,Competitor,Target,Target,120,DABC,1663,1585,1169,Contrast,line,straight,blue,Max
z553g2hwcqq9,No,No,TmoreC1,14,Contrast,Distractor,Competitor,101,DCAB,1326,1460,892,NoContrast,cube,full,yellow,Max
z553g2hwcqq9,No,No,TmoreC1,15,Distractor,Competitor,Target,20,DBAC,1630,1562,1456,Contrast,cube,empty ,transparent,Max
z553g2hwcqq9,No,No,TmoreC1,16,Competitor,Competitor,Target,23,CBAD,1700,1928,1880,NoContrast,triangle,flat,yellow,Max
z553g2hwcqq9,No,No,TmoreC1,17,Distractor,Target,Target,22,BCAD,1695,3417,1401,Contrast,circle,closed,blue,Max
z553g2hwcqq9,No,No,TmoreC1,18,Target,Target,Target,68,ACBD,2698,1371,1368,NoContrast,line,straight,red,Max
z553g2hwcqq9,No,No,TmoreC1,19,Target,Target,Target,10,CDBA,1689,1740,1152,Contrast,cylinder,full,blue,Max
z553g2hwcqq9,No,No,TmoreC1,20,Distractor,Target,Target,28,BCAD,219494,1546,1305,NoContrast,cylinder,empty ,transparent,Max
z553g2hwcqq9,No,No,TmoreC1,21,Competitor,Target,Target,38,DBCA,1698,1804,1353,Contrast,line,long,red,Rel
z553g2hwcqq9,No,No,TmoreC1,22,Competitor,Competitor,Target,95,CADB,1368,3231,1612,NoContrast,line,short ,blue,Rel
z553g2hwcqq9,No,No,TmoreC1,23,Competitor,Competitor,Contrast,9,BCDA,1573,1334,2003,Contrast,square,big,red,Rel
z553g2hwcqq9,No,No,TmoreC1,24,Contrast,Target,Target,33,DCBA,1141,1623,1260,NoContrast,triangle,small,yellow,Rel
z553g2hwcqq9,No,No,TmoreC1,25,Competitor,Competitor,Contrast,41,DACB,2171,2423,2821,Contrast,oval,wide,green,Rel
z553g2hwcqq9,No,No,TmoreC1,26,Distractor,Distractor,Target,105,ABDC,1558,1777,3313,NoContrast,rectangle,narrow,red,Rel
z553g2hwcqq9,No,No,TmoreC1,27,Competitor,Competitor,Target,18,BADC,1153861,2570,1342,Contrast,spiral,tall,blue,Rel
z553g2hwcqq9,No,No,TmoreC1,28,Contrast,Target,Target,59,ADBC,2341,3014,1126,NoContrast,spiral,short,red,Rel
z553g2hwcqq9,No,No,TmoreC1,29,Competitor,Competitor,Competitor,47,CBAD,21856,1224,1395,Contrast,line,thick,yellow,Rel
z553g2hwcqq9,No,No,TmoreC1,30,Contrast,Target,Target,97,ACDB,1329,1371,1156,NoContrast,line,thin,blue,Rel
z553g2hwcqq9,No,No,TmoreC1,31,Competitor,Target,Target,119,ACBD,1363,1491,1119,Contrast,line,long ,green,Rel
z553g2hwcqq9,No,No,TmoreC1,32,Contrast,Target,Target,118,CDBA,1345,2186,1364,NoContrast,line,short,red,Rel
z553g2hwcqq9,No,No,TmoreC1,33,Competitor,Competitor,Target,4,CBAD,3686,1700,1514,Contrast,triangle,big,yellow,Rel
z553g2hwcqq9,No,No,TmoreC1,34,Target,Target,Target,104,DBAC,1698,3750,1827,NoContrast,square,small,blue,Rel
z553g2hwcqq9,No,No,TmoreC1,35,Distractor,Distractor,Target,8,CDAB,1571,947,2163,Contrast,rectangle,wide,yellow,Rel
z553g2hwcqq9,No,No,TmoreC1,36,Competitor,Competitor,Target,62,BCAD,1666,2994,4367,NoContrast,oval,narrow,red,Rel
z553g2hwcqq9,No,No,TmoreC1,37,Target,Target,Target,36,DACB,2284,1286,1095,Contrast,cylinder,tall,yellow,Rel
z553g2hwcqq9,No,No,TmoreC1,38,Distractor,Competitor,Target,44,BDAC,1997,1710,2289,NoContrast,cylinder,short,green,Rel
z553g2hwcqq9,No,No,TmoreC1,39,Contrast,Target,Competitor,66,CBDA,1715,1738,5189,Contrast,line,thick,blue,Rel
z553g2hwcqq9,No,No,TmoreC1,40,Target,Target,Target,51,BDAC,1539,2044,1580,NoContrast,line,thin,red,Rel
z553g2hwcqq9,No,No,TmoreC1,41,Target,Target,Target,6,BCDA,7879,1357,961,Contrast,square,red,red,Col
z553g2hwcqq9,No,No,TmoreC1,42,Competitor,Competitor,Target,5,BACD,2164,1201,1266,NoContrast,circle,green,green,Col
z553g2hwcqq9,No,No,TmoreC1,43,Competitor,Competitor,Competitor,21,ABCD,1229705,1206,597,Contrast,line,blue,blue,Col
z553g2hwcqq9,No,No,TmoreC1,44,Target,Target,Target,81,ADBC,2423,1906,1848,NoContrast,triangle,yellow,yellow,Col
z553g2hwcqq9,No,No,TmoreC1,45,Target,Target,Target,48,BADC,1405,1184,1259,Contrast,oval,red,red,Col
