,trialType,cond,utterance_type,instruction,target,contrastGood,contrastBad,big_filler,small_Filler
225,filler,contrast_control,unmodified,Click on the grill,grill_small.jpg,clog_big.jpg,grill_big.jpg,washer_big.jpg,washer_small.jpg
226,filler,contrast_control,unmodified,Click on the beermug,beermug_big.jpg,conch_small.jpg,beermug_small.jpg,tractor_big.jpg,tractor_small.jpg
227,filler,contrast_control,unmodified,Click on the bed,bed_small.jpg,coral_big.jpg,bed_big.jpg,alligator_big.jpg,alligator_small.jpg
228,filler,contrast_control,unmodified,Click on the caterpillar,caterpillar_big.jpg,crane_small.jpg,caterpillar_small.jpg,panflute_big.jpg,panflute_small.jpg
229,filler,contrast_control,unmodified,Click on the dart,dart_small.jpg,creamer_big.jpg,dart_big.jpg,yoyo_big.jpg,yoyo_small.jpg
230,filler,contrast_control,unmodified,Click on the deer,deer_big.jpg,cushion_small.jpg,deer_small.jpg,molecule_big.jpg,molecule_small.jpg
231,filler,contrast_control,unmodified,Click on the doll,doll_small.jpg,ring_big.jpg,doll_big.jpg,rollerblades_big.jpg,rollerblades_small.jpg
232,filler,contrast_control,unmodified,Click on the firealarm,firealarm_big.jpg,leash_small.jpg,firealarm_small.jpg,iguana_big.jpg,iguana_small.jpg
233,filler,contrast_control,unmodified,Click on the fountain,fountain_small.jpg,eiffeltower_big.jpg,fountain_big.jpg,fireextinguisher_big.jpg,fireextinguisher_small.jpg
234,filler,contrast_control,unmodified,Click on the frenchfries,frenchfries_big.jpg,blender_small.jpg,frenchfries_small.jpg,hairclip_big.jpg,hairclip_small.jpg
235,filler,contrast_control,unmodified,Click on the graduationhat,graduationhat_small.jpg,footstool_big.jpg,graduationhat_big.jpg,cannoli_big.jpg,cannoli_small.jpg
236,filler,contrast_control,unmodified,Click on the hippo,hippo_big.jpg,firepants_small.jpg,hippo_small.jpg,broccoli_big.jpg,broccoli_small.jpg
237,filler,contrast_control,unmodified,Click on the kangaroo,kangaroo_small.jpg,ghost_big.jpg,kangaroo_big.jpg,wreath_big.jpg,wreath_small.jpg
238,filler,contrast_control,unmodified,Click on the kiwi,kiwi_big.jpg,tote_small.jpg,kiwi_small.jpg,windmill_big.jpg,windmill_small.jpg
239,filler,contrast_control,unmodified,Click on the lion,lion_small.jpg,harmonica_big.jpg,lion_big.jpg,tennisball_big.jpg,tennisball_small.jpg
240,filler,semantic_control,unmodified,Click on the button,button_big.jpg,congadrum_small.jpg,button_small.jpg,coffeemaker_orange.jpg,coffeemaker_blue.jpg
241,filler,semantic_control,unmodified,Click on the eggs,eggs_small.jpg,pinata_big.jpg,eggs_big.jpg,parfait_stemglass.jpg,parfait_cup.jpg
242,filler,semantic_control,unmodified,Click on the blackboard,blackboard_big.jpg,horseshoe_small.jpg,blackboard_small.jpg,plant_largeleaves.jpg,plant_smallleaves.jpg
243,filler,semantic_control,unmodified,Click on the axe,axe_small.jpg,turkey_big.jpg,axe_big.jpg,mailbox_farm.jpg,mailbox_green.jpg
244,filler,semantic_control,unmodified,Click on the bathtub,bathtub_big.jpg,huntingvest_small.jpg,bathtub_small.jpg,garbage_yellow.jpg,garbage_blue.jpg
245,filler,semantic_control,unmodified,Click on the castle,castle_small.jpg,weddingcake_big.jpg,castle_big.jpg,aabacus_four.jpg,aabacus_ten.jpg
246,filler,semantic_control,unmodified,Click on the champagne,champagne_big.jpg,jar_small.jpg,champagne_small.jpg,convertible_closed.jpg,convertible_open.jpg
247,filler,semantic_control,unmodified,Click on the crib,crib_small.jpg,bootie_big.jpg,crib_big.jpg,laundrybasket_red.jpg,laundrybasket_white.jpg
248,filler,semantic_control,unmodified,Click on the cucumber,cucumber_big.jpg,joystick_small.jpg,cucumber_small.jpg,pacifier_red.jpg,pacifier_blue.jpg
249,filler,semantic_control,unmodified,Click on the horse,horse_small.jpg,bobcat_big.jpg,horse_big.jpg,legoman_cult.jpg,legoman_sailor.jpg
250,filler,semantic_control,unmodified,Click on the hawk,hawk_big.jpg,redkettle_small.jpg,hawk_small.jpg,scroll_writing.jpg,scroll_blank.jpg
251,filler,semantic_control,unmodified,Click on the kazoo,kazoo_small.jpg,babyswing_big.jpg,kazoo_big.jpg,spraybottle_orange.jpg,spraybottle_blue.jpg
252,filler,semantic_control,unmodified,Click on the keyboard,keyboard_big.jpg,kitchentimer_small.jpg,keyboard_small.jpg,sushi_salmon.jpg,sushi_nigiri.jpg
253,filler,semantic_control,unmodified,Click on the lighthouse,lighthouse_small.jpg,batteries_big.jpg,lighthouse_big.jpg,measuringtape_black.jpg,measuringtape_orange.jpg
254,filler,semantic_control,unmodified,Click on the spoon,spoon_big.jpg,lemur_small.jpg,spoon_small.jpg,perfume_tall.jpg,perfume_short.jpg
255,filler,semantic_control,unmodified,Click on the radish,radish_small.jpg,bikewithbasket_big.jpg,radish_big.jpg,pill_hard.jpg,pill_capsule.jpg
256,filler,semantic_control,unmodified,Click on the slide,slide_big.jpg,leopard_small.jpg,slide_small.jpg,quilt_blue.jpg,quilt_brown.jpg
257,filler,semantic_control,unmodified,Click on the snowflake,snowflake_small.jpg,brusselsprout_big.jpg,snowflake_big.jpg,spicerack_rectangle.jpg,spicerack_shelves.jpg
258,filler,semantic_control,unmodified,Click on the teepee,teepee_big.jpg,manatee_small.jpg,teepee_small.jpg,wheelbarrow_blue.jpg,wheelbarrow_red.jpg
259,filler,semantic_control,unmodified,Click on the scrunchie,scrunchie_small.jpg,celery_big.jpg,scrunchie_big.jpg,hawaiianshirt_red.jpg,hawaiianshirt_blue.jpg
260,filler,semantic_control,unmodified,Click on the pinecone,pinecone_big.jpg,measuringcups_small.jpg,pinecone_small.jpg,sword_fantasy.jpg,sword_thin.jpg
261,filler,semantic_control,unmodified,Click on the potato,potato_small.jpg,dustpan_big.jpg,potato_big.jpg,duck_camo.jpg,duck_zebra.jpg
