,filename,intro_onset,intro_offset,adj_onset,adj_offset,noun_onset,noun_offset,introDur,adjDur,nounDur
192,icecream_small.wav,0,459.8364766,459.8364766,1109.738505,1235.797088,1912.267574,459.8364766,649.9020281,676.470486
193,icecream_strawberry.wav,0,488.3835028,488.3835028,1232.564608,1275.088076,1968.418934,488.3835028,744.1811049,693.3308576
194,igloo_small.wav,0,529.4042835,529.4042835,1087.31447,1291.109005,1854.897959,529.4042835,557.9101868,563.7889541
195,jeep_big.wav,0,456.9622588,523.3487377,823.0937486,975.9838213,1373.265306,456.9622588,299.7450109,397.2814848
196,kangaroo.wav,0,470.3360909,NA,NA,510.0016295,1353.854875,470.3360909,NA,843.8532458
197,kangaroo_small.wav,0,414.247415,414.247415,924.4075614,997.2875823,1776.802721,414.247415,510.1601464,779.5151388
198,kayak_big.wav,0,586.014731,713.5661614,1148.400583,1296.244286,1978.888889,586.014731,434.8344216,682.6446025
199,kazoo.wav,0,443.0908376,NA,NA,443.0908376,1127.981859,443.0908376,NA,684.8910218
200,kazoo_small.wav,0,584.3625622,584.3625622,1097.031061,1165.569631,1871.473923,584.3625622,512.6684992,705.904292
201,kettle_electric.wav,0,494.4074211,494.4074211,1172.150598,1244.145295,1694.693878,494.4074211,677.743177,450.548583
202,key_small.wav,0,532.3593364,532.3593364,1244.493276,1439.240109,1984.195011,532.3593364,712.1339397,544.9549027
203,keyboard.wav,0,444.6597142,NA,NA,498.8969652,1194.331066,444.6597142,NA,695.4341006
204,keyboard_big.wav,0,482.1326106,573.1257746,896.9543878,1097.674603,1826.9161,482.1326106,323.8286132,729.2414972
205,kiwi.wav,29.38447779,502.2501819,NA,NA,567.3548803,1169.546485,472.8657042,NA,602.1916049
206,kiwi_big.wav,0,442.34198,543.7793949,860.1675224,1043.72094,1648.684807,442.34198,316.3881275,604.9638674
207,laptop.wav,0,463.7448794,NA,NA,463.7448794,1260.904613,463.7448794,NA,797.1597339
208,leaf.wav,0,557.6482835,NA,NA,557.6482835,945.5929031,557.6482835,NA,387.9446195
209,leaf_small.wav,0,496.9065901,496.9065901,1139.249079,1282.30352,1914.78458,496.9065901,642.3424893,632.4810602
210,lemon_whole.wav,0,481.039049,481.039049,1000.274471,1158.727623,1677.07483,481.039049,519.2354217,518.3472068
211,lifevest_big.wav,0,477.4682651,600.5659673,985.2462868,1083.724449,2100.770975,477.4682651,384.6803195,1017.046527
212,lightbulb_green.wav,0,502.0990196,560.8081357,1009.132295,1083.852988,1821.678005,502.0990196,448.3241594,737.8250161
213,lighthouse.wav,0,456.1238005,NA,NA,456.1238005,1308.846905,456.1238005,NA,852.7231046
214,lighthouse_small.wav,0,466.3177287,466.3177287,1123.309395,1290.543637,2038.571429,466.3177287,656.991666,748.0277916
215,lime.wav,0,437.3093377,NA,NA,437.3093377,1065.578231,437.3093377,NA,628.2688936
216,lion.wav,0,454.8780765,NA,NA,454.8780765,1065.578231,454.8780765,NA,610.7001548
217,lion_small.wav,0,411.471867,411.471867,984.9659965,1101.69489,1732.244898,411.471867,573.4941294,630.5500079
218,lipstick.wav,0,529.570489,NA,NA,529.570489,1383.537415,529.570489,NA,853.966926
219,lipstick_big.wav,0,546.0801837,633.150708,1001.749261,1164.280906,1981.247166,546.0801837,368.5985528,816.9662593
220,lizard.wav,0,468.6104132,NA,NA,468.6104132,1086.1678,468.6104132,NA,617.5573873
221,loafofbread_round.wav,0,497.7359502,497.7359502,1099.384931,1123.565906,2089.591837,497.7359502,601.6489805,966.0259308
222,lobster_small.wav,0,504.4357407,504.4357407,1085.156897,1224.858685,1863.104107,504.4357407,580.7211567,638.2454222
223,lock_big.wav,0,460.7537596,575.2412729,906.5242902,1047.806753,1661.654697,460.7537596,331.2830172,613.8479437
224,lock_open.wav,0,447.815798,533.6585873,1046.114027,1189.185342,1775.736961,447.815798,512.4554394,586.5516192
225,lollipops.wav,0,736.9424896,NA,NA,736.9424896,1666.190476,736.9424896,NA,929.2479866
226,lollipops_big.wav,0,473.9553454,565.7899197,898.6902519,976.175674,1959.047619,473.9553454,332.9003321,982.871945
227,mailbox_barn.wav,0,473.9490165,580.8384243,966.4948961,966.4948961,1903.129252,473.9490165,385.6564718,936.6343556
228,mask_small.wav,0,474.3415389,474.3415389,1133.819368,1205.191428,1948.843537,474.3415389,659.4778293,743.6521098
229,microphone.wav,0,436.3597144,NA,NA,436.3597144,1256.054422,436.3597144,NA,819.6947074
230,microscope.wav,0,420.1313952,NA,NA,420.1313952,1322.947846,420.1313952,NA,902.8164506
231,microwave.wav,0,470.8477047,NA,NA,470.8477047,1353.854875,470.8477047,NA,883.0071706
232,mirror_hand.wav,0,516.7864067,516.7864067,1060.81214,1110.043433,1727.596372,516.7864067,544.0257332,617.5529388
233,mixer_green.wav,0,484.8756334,585.5789652,1072.765354,1203.407514,1857.936508,484.8756334,487.1863886,654.5289941
234,monkey_small.wav,0,485.1786013,485.1786013,1167.136238,1268.471308,1869.591837,485.1786013,681.9576363,601.1205287
235,motorcycle.wav,0,519.7883659,NA,NA,519.7883659,1363.922902,519.7883659,NA,844.1345366
236,motorcycle_small.wav,0,539.1995441,539.1995441,1054.789162,1121.410293,1977.301587,539.1995441,515.5896182,855.8912946
237,muffin.wav,0,499.08769,NA,NA,499.08769,1158.231293,499.08769,NA,659.1436025
238,mug.wav,0,437.821162,NA,NA,437.821162,957.4603175,437.821162,NA,519.6391554
239,mushroom_big.wav,0,512.3507541,606.127083,930.5424911,1026.853315,1730.136054,512.3507541,324.415408,703.2827391
240,musicsheet.wav,0,420.7363741,NA,NA,420.7363741,1264.399093,420.7363741,NA,843.6627189
241,musicsheet_big.wav,0,475.6386567,566.1551433,871.6482857,1035.709418,1930.929705,475.6386567,305.4931424,895.2202875
242,necklace_small.wav,0,478.0502363,478.0502363,1146.689573,1182.509537,2037.664399,478.0502363,668.6393363,855.154862
243,nest.wav,0,458.7917146,NA,NA,458.7917146,1106.75737,458.7917146,NA,647.965655
244,nut_small.wav,0,464.4328266,464.4328266,1068.641456,1108.046367,1494.399093,464.4328266,604.2086298,386.3527259
245,nutcracker.wav,0,431.8846636,NA,NA,431.8846636,1275.442177,431.8846636,NA,843.5575133
246,nutcracker_small.wav,0,430.8343577,430.8343577,1001.430922,1076.050747,1941.247166,430.8343577,570.596564,865.1964188
247,onion_small.wav,0,689.3104504,689.3104504,1347.816788,1493.477176,2067.014954,689.3104504,658.5063375,573.5377778
248,orange_big.wav,0,533.9473953,706.9783004,1128.02017,1295.283378,1968.61678,533.9473953,421.0418691,673.3334022
249,origami.wav,0,532.2748295,NA,NA,578.9743327,1386.031746,532.2748295,NA,807.0574134
250,origami_big.wav,0,523.7996968,626.9347476,954.3885339,995.6425543,1760.090703,523.7996968,327.4537863,764.4481487
251,ovenmit.wav,0,836.4715357,NA,NA,836.4715357,1452.380952,836.4715357,NA,615.9094167
252,ovenmit_big.wav,0,476.2333511,552.6669937,929.9040039,991.5440382,1683.106576,476.2333511,377.2370102,691.5625377
253,owl.wav,0,552.4484742,NA,NA,643.3794211,1128.594104,552.4484742,NA,485.2146832
254,owl_small.wav,0,472.2495369,472.2495369,1086.70208,1192.999778,1769.818594,472.2495369,614.4525433,576.8188165
255,package.wav,0,623.708721,NA,NA,706.0054956,1404.46712,623.708721,NA,698.4616246
256,package_small.wav,0,452.7713647,452.7713647,1045.989076,1135.378046,1849.092971,452.7713647,593.2177114,713.7149242
257,paintbrush.wav,0,576.282048,NA,NA,634.7436572,1478.072562,576.282048,NA,843.3289051
258,paintbrush_big.wav,0,607.4056003,607.4056003,935.5097939,1085.890883,1866.462585,607.4056003,328.1041935,780.5717025
259,panda.wav,0,446.6752015,NA,NA,505.9923387,1065.578231,446.6752015,NA,559.5858926
260,pants.wav,0,590.1137742,NA,NA,671.8108321,1360.226757,590.1137742,NA,688.4159252
261,pants_big.wav,0,488.975059,603.7761164,932.1605365,1092.348058,1822.494331,488.975059,328.38442,730.1462726
262,paperbag_big.wav,0,488.7688069,646.5792865,994.9533641,1155.7414,2032.585034,488.7688069,348.3740776,876.8436341
263,paperclip.wav,0,608.4203238,NA,NA,664.8424181,1426.507937,608.4203238,NA,761.6655184
264,paperclip_big.wav,0,522.4831808,641.5408843,1059.769227,1270.40978,2083.922902,522.4831808,418.2283431,813.5131227
265,parrot.wav,12.97473783,651.6424597,NA,NA,727.847131,1238.571429,638.6677218,NA,510.7242976
266,parrot_small.wav,0,504.125006,504.125006,1041.791199,1128.980311,1653.287982,504.125006,537.6661927,524.3076709
267,partyhat.wav,0,532.8010722,NA,NA,575.0943489,1312.312925,532.8010722,NA,737.2185763
268,partyhat_big.wav,0,597.754183,597.754183,907.2870916,1048.477541,1853.492063,597.754183,309.5329086,805.0145224
269,pasta_tricolor.wav,0,463.3153935,513.2084691,1178.449478,1256.060929,1892.154195,463.3153935,665.2410085,636.0932665
270,peanut.wav,0,417.4273783,NA,NA,498.9464877,1091.133787,417.4273783,NA,592.1872992
271,peanut_small.wav,0,490.062092,490.062092,1006.95568,1125.668083,1688.276644,490.062092,516.8935883,562.6085606
272,pear_big.wav,0,474.8006038,589.3224645,909.5162381,1054.42145,1595.442177,474.8006038,320.1937737,541.0207273
273,pen_fountain.wav,0,438.909986,438.909986,1015.888079,1024.404361,1453.378685,438.909986,576.9780931,428.9743239
274,pencil_small.wav,0,496.3652078,496.3652078,1143.611728,1350.954769,1912.698413,496.3652078,647.2465198,561.7436441
275,penguin.wav,0,773.4255261,NA,NA,816.6048249,1403.605442,773.4255261,NA,587.0006173
276,penguin_small.wav,0,467.6435537,467.6435537,1068.019897,1188.095165,1781.904762,467.6435537,600.3763429,593.8095968
277,phone_mobile.wav,0,489.7452752,489.7452752,949.2533545,949.2533545,1639.863946,489.7452752,459.5080793,690.6105911
278,piano.wav,0,462.3156081,NA,NA,522.3037476,1106.75737,462.3156081,NA,584.453622
279,pickle_big.wav,0,502.8319377,582.1739103,937.0088435,1095.692789,1504.489796,502.8319377,354.8349332,408.7970072
280,pie.wav,0,461.6052931,NA,NA,540.8305711,1060.430839,461.6052931,NA,519.6002679
281,pie_strawberry.wav,0,449.5593546,449.5593546,1168.743137,1214.193413,1825.056689,449.5593546,719.1837824,610.8632761
282,pig.wav,0,392.1176008,NA,NA,465.6011252,928.9342404,392.1176008,NA,463.3331152
283,pig_big.wav,0,578.0076481,656.664534,1045.032908,1145.812043,1677.936508,578.0076481,388.3683741,532.1244647
284,pillow.wav,0,484.8304858,NA,NA,552.9266587,1081.043084,484.8304858,NA,528.1164252
285,pin_red.wav,0,457.8931041,457.8931041,914.6785505,1015.334154,1541.133787,457.8931041,456.7854464,525.799633
286,pinecone.wav,0,446.9650049,NA,NA,524.0446367,1349.160998,446.9650049,NA,825.116361
287,pinecone_big.wav,0,540.4978778,600.8118189,935.2800377,1088.806433,1871.473923,540.4978778,334.4682188,782.6674898
288,pizza.wav,0,464.0023235,NA,NA,541.2971411,1055.283447,464.0023235,NA,513.9863056
289,plant_big.wav,0,474.2421585,575.2721886,904.822525,1121.315447,1642.063492,474.2421585,329.5503364,520.7480453
290,plate_yellow.wav,0,552.5937653,552.5937653,1056.165898,1155.907238,1660.657596,552.5937653,503.5721326,504.7503582
291,pool_big.wav,0,515.454687,607.7817505,989.2383024,1144.736515,1658.571429,515.454687,381.4565519,513.8349139
292,popcorn.wav,0,602.3176481,NA,NA,656.1050618,1412.199546,602.3176481,NA,756.0944847
293,popcorn_small.wav,0,411.4566971,411.4566971,993.0565346,1135.660341,1908.752834,411.4566971,581.5998375,773.0924935
294,potato.wav,0,451.5655742,NA,NA,508.4219267,1212.879819,451.5655742,NA,704.4578919
295,potato_small.wav,0,464.5488159,464.5488159,936.094705,1009.77375,1676.530612,464.5488159,471.5458891,666.7568621
296,puppet_shorthair.wav,0,459.3123394,841.2389583,1945.646259,524.8669083,835.538561,459.3123394,1104.4073,310.6716527
297,radish.wav,0,474.115873,NA,NA,474.115873,1198.027211,474.115873,NA,723.9113378
298,radish_small.wav,0,500.0533554,500.0533554,1088.139327,1200.338931,1904.897959,500.0533554,588.0859721,704.5590285
299,raspberry.wav,0,413.1648241,NA,NA,413.1648241,1220.15873,413.1648241,NA,806.993906
300,raspberry_small.wav,0,479.5439397,479.5439397,1040.811144,1076.403699,1868.979592,479.5439397,561.2672047,792.5758929
301,recliner.wav,0,496.3724884,NA,NA,496.3724884,1307.505669,496.3724884,NA,811.1331805
302,ribbon_big.wav,0,507.6019061,621.3762636,981.6617287,1104.917283,1618.049887,507.6019061,360.2854651,513.1326041
303,robot_dog.wav,0,482.6161559,482.6161559,982.1945505,1093.436306,1650.816327,482.6161559,499.5783945,557.3800206
304,rooster.wav,0,673.8579386,NA,NA,673.8579386,1314.807256,673.8579386,NA,640.9493176
305,rooster_big.wav,0,514.5883927,591.0577113,957.5830663,1073.605481,1800.022676,514.5883927,366.525355,726.4171949
306,rope_big.wav,0,509.0975252,618.9655861,972.4541298,1039.330341,1630.430839,509.0975252,353.4885437,591.1004982
307,sardines.wav,0,587.9415815,NA,NA,587.9415815,1566.848073,587.9415815,NA,978.9064911
308,sardines_big.wav,0,547.4826558,618.9588202,896.6162283,959.845143,1876.621315,547.4826558,277.6574081,916.7761722
309,saw_small.wav,0,460.3217471,460.3217471,1074.412281,1074.412281,1697.165533,460.3217471,614.0905343,622.7532515
310,saxophone.wav,0,632.6078388,NA,NA,632.6078388,1552.539683,632.6078388,NA,919.9318437
311,saxophone_small.wav,0,495.9921633,495.9921633,1146.9473,1240.8662,2210.770975,495.9921633,650.9551364,969.9047751
312,schoolbus.wav,0,568.7460959,NA,NA,568.7460959,1558.276644,568.7460959,NA,989.5305481
313,schoolbus_big.wav,0,519.4400206,582.804398,926.7824471,987.1294733,2059.750567,519.4400206,343.9780491,1072.621094
314,scissors.wav,0,452.3085029,NA,NA,452.3085029,1214.875283,452.3085029,NA,762.5667805
315,screen.wav,0,525.4747417,NA,NA,525.4747417,1280.408163,525.4747417,NA,754.9334215
316,screen_big.wav,0,558.2455302,648.8555586,1008.464109,1093.41101,1932.92517,558.2455302,359.60855,839.5141599
317,scrunchie.wav,0,445.7714311,NA,NA,445.7714311,1216.462585,445.7714311,NA,770.6911539
318,scrunchie_small.wav,0,463.4243909,463.4243909,1030.8794,1076.049948,1927.188209,463.4243909,567.4550088,851.1382609
319,seahorse_big.wav,0,613.0743644,648.4183822,1010.694565,1110.835949,2010.589569,613.0743644,362.2761829,899.7536202
320,shark.wav,0,582.0637974,NA,NA,582.0637974,1171.564626,582.0637974,NA,589.5008284
